date,day_of_week,time_of_day,food_item,orders,temperature,rainfall_mm,holiday,local_event,promotion_active,restaurant_location,customer_footfall
2025-06-01,Sunday,Breakfast,Burger,32,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Lunch,Burger,43,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Dinner,Burger,27,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Breakfast,Pasta,26,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Lunch,Pasta,45,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Dinner,Pasta,35,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Breakfast,Grilled Chicken,31,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Lunch,Grilled Chicken,42,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Dinner,Grilled Chicken,36,29.5,0.8,1,0,1,Downtown,188
2025-06-01,Sunday,Breakfast,Tacos,29,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Lunch,Tacos,45,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Dinner,Tacos,30,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Breakfast,Veg Salad,21,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Lunch,Veg Salad,46,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Dinner,Veg Salad,36,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Breakfast,Pizza,31,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Lunch,Pizza,67,29.5,0.8,1,0,1,Downtown,188
2025-06-01,Sunday,Dinner,Pizza,36,29.5,0.8,1,0,0,Downtown,188
2025-06-01,Sunday,Breakfast,Burger,45,29.5,0.8,1,0,1,Suburban,331
2025-06-01,Sunday,Lunch,Burger,40,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Dinner,Burger,27,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Breakfast,Pasta,27,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Lunch,Pasta,60,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Dinner,Pasta,34,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Breakfast,Grilled Chicken,35,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Lunch,Grilled Chicken,48,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Dinner,Grilled Chicken,27,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Breakfast,Tacos,35,29.5,0.8,1,0,1,Suburban,331
2025-06-01,Sunday,Lunch,Tacos,53,29.5,0.8,1,0,1,Suburban,331
2025-06-01,Sunday,Dinner,Tacos,35,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Breakfast,Veg Salad,46,29.5,0.8,1,0,1,Suburban,331
2025-06-01,Sunday,Lunch,Veg Salad,61,29.5,0.8,1,0,1,Suburban,331
2025-06-01,Sunday,Dinner,Veg Salad,36,29.5,0.8,1,0,1,Suburban,331
2025-06-01,Sunday,Breakfast,Pizza,29,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Lunch,Pizza,58,29.5,0.8,1,0,1,Suburban,331
2025-06-01,Sunday,Dinner,Pizza,27,29.5,0.8,1,0,0,Suburban,331
2025-06-01,Sunday,Breakfast,Burger,57,29.5,0.8,1,0,1,Mall,205
2025-06-01,Sunday,Lunch,Burger,46,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Dinner,Burger,32,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Breakfast,Pasta,25,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Lunch,Pasta,54,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Dinner,Pasta,34,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Breakfast,Grilled Chicken,32,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Lunch,Grilled Chicken,58,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Dinner,Grilled Chicken,33,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Breakfast,Tacos,25,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Lunch,Tacos,54,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Dinner,Tacos,32,29.5,0.8,1,0,1,Mall,205
2025-06-01,Sunday,Breakfast,Veg Salad,26,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Lunch,Veg Salad,61,29.5,0.8,1,0,1,Mall,205
2025-06-01,Sunday,Dinner,Veg Salad,38,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Breakfast,Pizza,27,29.5,0.8,1,0,0,Mall,205
2025-06-01,Sunday,Lunch,Pizza,71,29.5,0.8,1,0,1,Mall,205
2025-06-01,Sunday,Dinner,Pizza,21,29.5,0.8,1,0,0,Mall,205
2025-06-02,Monday,Breakfast,Burger,33,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Lunch,Burger,51,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Dinner,Burger,25,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Breakfast,Pasta,27,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Lunch,Pasta,58,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Dinner,Pasta,21,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Breakfast,Grilled Chicken,28,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Lunch,Grilled Chicken,57,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Dinner,Grilled Chicken,30,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Breakfast,Tacos,36,32.2,1.3,0,0,1,Downtown,384
2025-06-02,Monday,Lunch,Tacos,47,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Dinner,Tacos,39,32.2,1.3,0,0,1,Downtown,384
2025-06-02,Monday,Breakfast,Veg Salad,48,32.2,1.3,0,0,1,Downtown,384
2025-06-02,Monday,Lunch,Veg Salad,58,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Dinner,Veg Salad,31,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Breakfast,Pizza,31,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Lunch,Pizza,50,32.2,1.3,0,0,0,Downtown,384
2025-06-02,Monday,Dinner,Pizza,44,32.2,1.3,0,0,1,Downtown,384
2025-06-02,Monday,Breakfast,Burger,50,32.2,1.3,0,0,1,Suburban,162
2025-06-02,Monday,Lunch,Burger,57,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Dinner,Burger,37,32.2,1.3,0,0,1,Suburban,162
2025-06-02,Monday,Breakfast,Pasta,31,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Lunch,Pasta,51,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Dinner,Pasta,13,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Breakfast,Grilled Chicken,37,32.2,1.3,0,0,1,Suburban,162
2025-06-02,Monday,Lunch,Grilled Chicken,56,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Dinner,Grilled Chicken,21,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Breakfast,Tacos,31,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Lunch,Tacos,56,32.2,1.3,0,0,1,Suburban,162
2025-06-02,Monday,Dinner,Tacos,29,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Breakfast,Veg Salad,33,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Lunch,Veg Salad,42,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Dinner,Veg Salad,34,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Breakfast,Pizza,31,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Lunch,Pizza,44,32.2,1.3,0,0,0,Suburban,162
2025-06-02,Monday,Dinner,Pizza,25,32.2,1.3,0,0,1,Suburban,162
2025-06-02,Monday,Breakfast,Burger,44,32.2,1.3,0,0,1,Mall,206
2025-06-02,Monday,Lunch,Burger,50,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Dinner,Burger,29,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Breakfast,Pasta,32,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Lunch,Pasta,53,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Dinner,Pasta,43,32.2,1.3,0,0,1,Mall,206
2025-06-02,Monday,Breakfast,Grilled Chicken,32,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Lunch,Grilled Chicken,64,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Dinner,Grilled Chicken,32,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Breakfast,Tacos,41,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Lunch,Tacos,72,32.2,1.3,0,0,1,Mall,206
2025-06-02,Monday,Dinner,Tacos,22,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Breakfast,Veg Salad,33,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Lunch,Veg Salad,58,32.2,1.3,0,0,0,Mall,206
2025-06-02,Monday,Dinner,Veg Salad,36,32.2,1.3,0,0,1,Mall,206
